tmdb_id,name,headquarters,homepage,logo_path,origin_country
2440,MBC Drama,"Goyang, Gyeonggi",http://www.mbcplus.com,https://image.tmdb.org/t/p/original/lYaHvRczjVFHHQgZO7cqPW79dsq.png,KR
247,YouTube,"San Bruno, California",https://www.youtube.com,https://image.tmdb.org/t/p/original/9Ga8A5QegQmiSVHp4hyusfMfpVk.png,
1728,E Channel,,,,KR
2498,Tooniverse,"66 Sangamsan-ro, Sangam-dong, Mapo-gu, Seoul, South Korea",http://tooniverse.m.tving.com,https://image.tmdb.org/t/p/original/cY1GK5jpiV4GmgSzMdQaW3vFJkc.png,KR
2748,Kakao TV,Jeju,https://tv.kakao.com,https://image.tmdb.org/t/p/original/cBB9DBajKFs8OJ4GEB82mL4TfvC.png,KR
6111,W-STORY,,http://www.w-story.kr,https://image.tmdb.org/t/p/original/hQXJ79aRXkDaBSb1CDFFEIjEOpm.png,KR
3264,MBC ON,"Goyang, Gyeonggi",https://www.mbcplus.com/web/index.do,https://image.tmdb.org/t/p/original/tjfRn8eVHW8p23QqTDYhjcr7AB8.png,KR
2007,Tencent Video,"Shenzhen, Guangdong",https://v.qq.com,https://image.tmdb.org/t/p/original/uBCIoV9AUGIdfXTrtJ6CRIxOZF6.png,CN
3561,sky Drama,"Mapo, Seoul, South Korea",https://skylifetv.co.kr/,,KR
3240,SNS,,,,
1943,Channel A,Seoul,http://www.ichannela.com,https://image.tmdb.org/t/p/original/yZiuYgxiBGJAucKmcBIy7TnVkSv.png,KR
1605,bilibili,Shanghai,https://www.bilibili.com/,https://image.tmdb.org/t/p/original/mtmMg3PD4YGfrlmqpEiO6NL2ch9.png,CN
97,MBC,"Mapo District, Seoul",http://www.imbc.com,https://image.tmdb.org/t/p/original/pOSCKaZhndUFYtxHXjQOV6xJi1s.png,KR
5265,vLive,,,,
6120,Cinema Heaven,"Samsung Boramae Omni Tower, 23, Boramae-ro 5-gil, Dongjak-gu, Seoul 07071",https://cinema.ktalpha.com,https://image.tmdb.org/t/p/original/vuSVbXILu5UNlePejAds2hRYb0u.png,KR
5338,Kocowa,,,,
3908,LG U+,,,,
866,tvN,"Seocho, Seoul",http://tvn.tving.com/tvn,https://image.tmdb.org/t/p/original/aRDq8zBrX3YLpHSfueNQBkNnn7b.png,KR
5208,Olleh TV,,,https://image.tmdb.org/t/p/original/4RsNnX7oGTqNI7fU3DYmbDBt0J0.png,KR
932,SBS Plus,"Mapo, Seoul, South Korea",https://plus.sbs.co.kr/channel.html,https://image.tmdb.org/t/p/original/uLcpGlAjcAXiafzAYylU3W409bt.png,KR
1796,EBS 1,"Goyang, Gyeonggi",http://www.ebs.co.kr,https://image.tmdb.org/t/p/original/vM4FN2WU2JU1mCiZw2BtqJ27zxR.png,KR
1183,DRAMAcube,,https://www.imtcast.com/dramacube/,,KR
885,JTBC,"Mapo, Seoul",http://jtbc.joins.com/,https://image.tmdb.org/t/p/original/44I4aVlasm8Blb8WPGXTkMYuZJF.png,KR
3747,Rakuten TV,,https://tv.rakuten.co.jp/,https://image.tmdb.org/t/p/original/4OMk9wkAMwjcVM905BDyDC3iIgC.png,JP
829,KBS1,"Yeongdeungpo, Seoul",http://www.kbs.co.kr,https://image.tmdb.org/t/p/original/xH3ldaNUozSEqekkZoU8MqPbNF0.png,KR
929,MBN,,http://mbn.mk.co.kr,https://image.tmdb.org/t/p/original/7XKVnL4rDYZNBcTfalthDYsnYzs.png,KR
809,Mnet,"Seocho, Seoul",https://www.genie.co.kr/genietv/broadcast,https://image.tmdb.org/t/p/original/86kvLisM5gol3ckgayJahAf2G9M.png,KR
6072,NAVER NOW,,https://now.naver.com,https://image.tmdb.org/t/p/original/64HH2Zi5hiJIZvjUSXpVbRNYF4A.png,KR
2433,V LIVE,"Seongnam, Gyeonggi",http://www.vlive.tv,https://image.tmdb.org/t/p/original/bISjuts7UGfjH3KI7I21HmDZLlg.png,KR
1330,iQiyi,Beijing,http://www.iqiyi.com,https://image.tmdb.org/t/p/original/fNxBFqWr7eWEgNeBDvvCxsSItXx.png,CN
934,OCN movies,"Seocho, Seoul, South Korea",http://chcgv.tving.com/chcgv,https://image.tmdb.org/t/p/original/uabddxuKhIPCQhr0QsnbATDqVWa.png,KR
6093,WHYNOT,,https://whynot.video/,https://image.tmdb.org/t/p/original/hK1qNXIMybi7yT2IGWO3Rm9E97O.png,KR
2772,KBS W,"Mapo, Seoul",http://www.kbsn.co.kr/index,https://image.tmdb.org/t/p/original/ouocJy6EukDqdAIS5tqER5uzmIX.png,KR
213,Netflix,"Los Gatos, California",http://www.netflix.com,https://image.tmdb.org/t/p/original/wwemzKWzjKYJFfCeiB57q3r4Bcm.png,
