tmdb_id,name,biography,place_of_birth,birthday,deathday,gender,known_for_department,popularity,profile_img_url
1108066,Park Jin-young,,"Seoul, South Korea",1972-12-13,,2.0,Acting,4.292,https://image.tmdb.org/t/p/original/e5hAqVRf13f80lpvF1x0rLdDwuX.jpg
1295495,Jung Sun-kyung,,South Korea,1971-02-08,,1.0,Acting,5.061,https://image.tmdb.org/t/p/original/A18p6s41UesFLp6ldfHOdLosXEH.jpg
1334230,Kim Jung-pal,,,1967-04-06,,2.0,Acting,1.574,https://image.tmdb.org/t/p/original/ao83emLZIRqiaX4OHFUSjF95tSQ.jpg
1398345,Yook Sung-jae,,"Yongin, Gyeonggi, South Korea",1995-05-02,,2.0,Acting,7.999,https://image.tmdb.org/t/p/original/afiADCloAYhyEPBFznOHtiYh097.jpg
64499,Choi Yeo-jin,,Canada ,1983-07-27,,1.0,Acting,8.048,https://image.tmdb.org/t/p/original/igCkz4OmkTeS2tSeYSHX9bMNMw8.jpg
62333,Choi Ji-woo,,"Paju, Gyeonggi, South Korea",1975-06-11,,1.0,Acting,6.698,https://image.tmdb.org/t/p/original/ysPp0U285rWrCBlo0AfKFbpwoOH.jpg
2882631,Park Sung-joon,,,1992-11-05,,2.0,Acting,5.434,https://image.tmdb.org/t/p/original/pklGYrZBGjO7wPLvSJgCNTjHkZ0.jpg
1257555,Wang Ji-hye,,"Masan, South Gyeongsang, South Korea",1985-12-29,,1.0,Acting,4.465,https://image.tmdb.org/t/p/original/zsKCq0K5b3mSR6OjZEGRvJeROom.jpg
118976,Kim Dong-wook,"Having been active on screen for a decade, KIM Dong-wook is an experienced performer known in the realms of film, TV and musical theatre. A Korea National University of Arts graduate, KIM started in a number of small roles before finding some meatier parts in low budget fare such as Flying Boys (2004) and No Regret (2006). His big break came in Take Off, which became the second-most popular film of 2009. Since then he has been able to land bigger parts in films such as 2011’s Romantic Heaven, The Cat and Countdown. 2012 was his biggest year yet as he starred as the conflicted king in the popular erotic period thriller The Concubine.","Seoul, South Korea",1983-07-29,,2.0,Acting,5.547,https://image.tmdb.org/t/p/original/kaPpIz331j9sWGEs9IwCWGqoUa.jpg
2134253,Kim Wook,,,1992-04-09,,2.0,Acting,2.367,https://image.tmdb.org/t/p/original/fTOBAlt3abct96pXAx7EoZ5vOW.jpg
3192063,Lee Ho-jae,,,1973-01-03,,2.0,Directing,0.694,
2043067,Kim Soo-kyung,,South Korea,1992-09-25,,1.0,Acting,2.435,https://image.tmdb.org/t/p/original/856ubkjKFHdvp8L2QPvfWO6Oq76.jpg
1999982,Lee Jong-jae,,,,,,Directing,0.968,
3563511,Lee Sang,,,,,,Acting,0.6,
1086446,Kang Sung-min,,,1979-07-23,,2.0,Acting,1.882,https://image.tmdb.org/t/p/original/lgAImH6fJIGxZ8heI2QrlOg1FoW.jpg
2214888,Kim Hye-yoon,Kim Hye-yoon is a South Korean actress and model. She first became known through her portrayal as Kang Ye-seo in JTBC's television series Sky Castle and received her first leading role with MBC's Extraordinary You.,"Seongnam, Gyeonggi, South Korea",1996-11-10,,1.0,Acting,10.041,https://image.tmdb.org/t/p/original/7WFkvDHqxS6xTpKBYpJyjd22e44.jpg
2176281,Son Ji-chang,,,,,2.0,Acting,1.22,https://image.tmdb.org/t/p/original/d8HaabaCuGdXBuJUBGyBmIEMUTx.jpg
1250840,Kang Ho-dong,,"Jinju, South Gyeongsang, South Korea",1970-06-11,,2.0,Acting,5.039,https://image.tmdb.org/t/p/original/tceyY4cqTxkiar4jFjPnEaZ6QRZ.jpg
