tmdb_id,name,headquarters,homepage,logo_path,origin_country
114517,Artist Company,"Gangnam, Seoul, South Korea",http://www.artistcompany.co.kr,https://image.tmdb.org/t/p/original/6sbBRmXRa1hGrnNINwxKp34hfya.png,KR
113202,Doodoong Pictures,"Jung, Seoul, South Korea",,,KR
46869,HB Entertainment,"Gangnam, Seoul, South Korea",http://hbenter.com/,,KR
165738,Synergy Media,,,,
169656,H& Entertainment,,,,KR
113553,Film Monster,"Seocho, Seoul, South Korea",,,KR
168319,How Pictures,,,,KR
154531,Big Ocean ENM,,,,
29077,FNC Entertainment,,,,
106106,SM Culture & Contents,"Gangnam, Seoul, South Korea",http://www.smcultureandcontents.com/main.asp,https://image.tmdb.org/t/p/original/fh6WrCiKqtejW1oerdG0FwiXgFA.png,KR
90935,JTBC,"Mapo, Seoul, South Korea",http://jtbc.joins.com/,https://image.tmdb.org/t/p/original/44I4aVlasm8Blb8WPGXTkMYuZJF.png,KR
105589,STRONGBERRY,"2nd floor, 90 Yeonhui-ro, Seodaemun-gu, Seoul (03725)",https://www.strongberry.kr,https://image.tmdb.org/t/p/original/yGfl1CaTE9VmlLLGXw6j9kf2sZc.png,KR
112531,Movierock,"Seocho, Seoul, South Korea",,,KR
36220,Hwa and Dam Pictures,"Gangnam, Seoul, South Korea",,https://image.tmdb.org/t/p/original/dl126JiEUyhdLOhoN6thM9vI26B.png,KR
126207,H house,,,,KR
112647,Siren Pictures,"Goyang, Gyeonggi, South Korea",,,KR
142265,Naver TVCast,,,,
82139,Olive 9,,,,
147395,Arc Media,"Mapo, Seoul, South Korea",http://www.arc-media.net/,https://image.tmdb.org/t/p/original/kAEJFoXRVb6HfC9AxZ9NVbgWEDH.png,KR
125466,Whynot Media,"Mapo, Seoul, South Korea",http://whynot.video/,,KR
144417,TAKE2,"Mapo, Seoul, South Korea",http://take2.co.kr/default/,,KR
175014,kbs 2,,,,
70599,Chorokbaem Media,"Gangnam, Seoul",http://www.chorokbaem.com/main/ko/index.html,,KR
