tmdb_id,name,original_name,keywords,airing_date,poster_img_url,background_img_url,directors_ids,cast_ids,genres_ids,number_of_seasons,number_of_episodes,episode_run_time,synopsis,popularity,average_rating,rating_count,next_episode_to_air,next_episode_air_date,origin_country,networks_ids,production_companies_ids
99966,All of Us Are Dead,지금 우리 학교는,"high school, bullying, based on comic, horror, coming of age, survival, apocalypse, zombie, virus, based on webcomic or webtoon",2022-01-28,https://image.tmdb.org/t/p/w500/pTEFqAjLd5YTsMD6NSUxV6Dq7A6.jpg,https://image.tmdb.org/t/p/original/8Xs20y8gFR0W9u8Yy9NKdpZtSu7.jpg,1182291,"2125084, 1493898, 2185341, 2074587, 2402531, 1985557, 79577, 1916075, 1572347","10759, 18, 10765",2.0,12.0,65.0,A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out — or turn into one of the rabid infected.,356.852,8.423,2717.0,,,KR,213,"56797, 86981, 113553"
112888,True Beauty,여신강림,"high school, beauty, makeover, hidden identity, beauty standards, webtoon, based on webcomic or webtoon, secret",2020-12-09,https://image.tmdb.org/t/p/w500/sld43SJArZqlnANJabq8R5wdOZk.jpg,https://image.tmdb.org/t/p/original/31N42LhrxltHtS1bHYfZghjPDNB.jpg,,"1252016, 1604826, 2333298, 2175208, 1108037, 1872629, 2158882, 1676563, 2992404, 1985543, 3115918, 3129872, 2064247, 1998163","35, 18",1.0,16.0,75.0,"Lim Ju-kyung is a high school student. Since she was little, she has had a complex about her appearance. To hide her bare face, Ju-kyung always wears make-up. Her excellent make-up skills make her pretty and she hides her bare face in front of others. She gets involved with 2 men; Lee Su-ho and Han Seo-jun.",344.001,8.545,1139.0,,,KR,866,"36225, 86418, 119174"
208249,Game of Witches,마녀의 게임,,2022-10-11,https://image.tmdb.org/t/p/w500/9bTjPzX48VZGalKEBI6tiknUyLI.jpg,https://image.tmdb.org/t/p/original/akjmJsCDpvDP5tLoAQCF9AiWqJb.jpg,,"582555, 2117665, 1066220","18, 80, 9648",1.0,29.0,30.0,"Yu Kyung is a successful woman who is proficient enough to become an executive director of Chunha Group when she started as a secretary. She recently found out her daughter is alive, so she plans to get her back and take her revenge. Meanwhile, Hye Soo is a strong girl who faces challenges head-on. She has a daughter with Ji Ho, and she would do anything for her. However, she gets tragically betrayed by Ji Ho, the love of her life, over power and money. How will those two mothers end their fierce revenge?",216.535,,,17.0,2022-11-02,KR,97,26511
93405,Squid Game,오징어 게임,"secret organization, challenge, survival, fictional game show, cruelty, game, death match, prize",2021-09-17,https://image.tmdb.org/t/p/w500/dDlEmu3EZ0Pgg93K2SVNLCjCSvE.jpg,https://image.tmdb.org/t/p/original/4y6kEEfdrNIUnWnmELkoc3EmgG7.jpg,1294471,"73249, 1593672, 3194501, 1557181, 1048070, 1918350, 587677, 2965849, 1985557","10759, 9648, 18",2.0,9.0,54.0,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games—with high stakes. But, a tempting prize awaits the victor.",294.357,7.833,11791.0,,,KR,213,112647
136699,Glitch,글리치,"friendship, investigation, ufo, miniseries, suspense",2022-10-07,https://image.tmdb.org/t/p/w500/dspwDOosidQT85oPDDHMM9zmaLw.jpg,https://image.tmdb.org/t/p/original/hGm3m4TzEsmBb9SF2mz8Uizx9uH.jpg,1293597,"2067860, 1523043, 1418580, 2239782, 150697, 1747532, 181332, 1511024, 3138793, 1605872, 2120094, 2758995, 2878492, 1572347, 2003804, 939133, 2098630, 2840538, 2124185","18, 35, 9648, 10765",1.0,10.0,54.0,A young woman joins forces with a UFO enthusiast to investigate her boyfriend’s sudden disappearance and stumbles into a wild conspiracy.,279.935,7.514,37.0,,,KR,213,133335
211174,Vengeance of the Bride,태풍의 신부,"revenge, daughter–in–law, enemy, woman",2022-10-10,https://image.tmdb.org/t/p/w500/aHUyK2XA76mn9GM36wu2rRKvwB5.jpg,https://image.tmdb.org/t/p/original/5gGfJIMB2ynRzERryQo8hTcdQXi.jpg,,"1568455, 1368061, 1940498, 1233712, 139509, 1798499, 2946951, 3719584, 141153, 2939533, 3719591, 2814163, 938258","18, 9648, 10751",1.0,100.0,40.0,The story of a woman who becomes the daughter-in-law of an enemy for desperate revenge.,221.488,,,19.0,2022-11-03,KR,342,77994
112836,Money Heist: Korea - Joint Economic Area,종이의 집: 공동경제구역,"robbery, bank, remake, money, bank robbery, hostage situation, hostage negotiator, inter-korean relations, korean reunification, hahoe",2022-06-24,https://image.tmdb.org/t/p/w500/fjAAxDPzllwnCMqHDXYlw4IlkaL.jpg,https://image.tmdb.org/t/p/original/lcTuggU70y6pt6x13Rv1Ffjs93K.jpg,,"10112, 28662, 1593672, 1937533, 551682, 1257600, 1692997, 1299252, 1630811, 2286203, 1694435, 147505, 2480883, 1565993, 3603071, 557743, 939133, 64455, 1329984, 125732","10759, 80, 18, 9648",1.0,6.0,,"Disguised under the shadows of a mask, a crew of desperados band together under the leadership of a criminal mastermind known only as “The Professor” to pull off the biggest heist Korea has ever seen.",198.96,7.905,384.0,,,KR,213,"126468, 142033"
201146,Love in Contract,월수금화목토,,2022-09-21,https://image.tmdb.org/t/p/w500/91diI2TKjaWMqKmjlcQeSnImg5n.jpg,https://image.tmdb.org/t/p/original/eoX8GS1j5F1mQaFHJigoPJDfklq.jpg,,"1234603, 1613823, 560070, 3229192, 2480883, 138527, 1859758, 3003941, 1239677, 2471960, 2033111, 1794445, 2381047, 3177082, 2636514","18, 35",1.0,16.0,70.0,"Can marriage be a business? Sang-eun is a single-life helper with 13 years of career. Her customers are those who need a wife for their public life under social pressure. Ji-ho is Sang-eun's MWF husband client who has been with her for 5 years. While short-term, abusing clients on TTS are driving Sang-eun mad, new long-term contractor Hye-jin appears and takes up the TTS husband schedule. With two different men, MWF husband and TTS husband, Sang-eun's week flows romantically crossing the borderline between public affairs and private emotions.",182.651,9.2,5.0,14.0,2022-11-03,KR,866,"70918, 128404"
67915,Goblin,쓸쓸하고 찬란하神-도깨비,"romance, super power, past life, immortal",2016-12-02,https://image.tmdb.org/t/p/w500/c2gon6zbqzL73DOl8mPQMMUJXvE.jpg,https://image.tmdb.org/t/p/original/smSbK5cd8T9XHcxEUcems23BDEF.jpg,1724565,"150903, 1067849, 1238592, 1254169, 1398345, 1257661, 1561631, 1566012, 560081","18, 10765",1.0,16.0,77.0,"In his quest for a bride to break his immortal curse, a 939-year-old guardian of souls meets a grim reaper and a sprightly student with a tragic past.",158.861,8.713,2351.0,,,KR,866,"36220, 86418"
154825,Business Proposal,사내맞선,"based on novel or book, businessman, fake identity, blind date, romance, heir, office romance, rich man poor woman, secondary couple, boss/employee relationship",2022-02-28,https://image.tmdb.org/t/p/w500/iLh7L8ZuvgdxFaM9sImyv2iKYLe.jpg,https://image.tmdb.org/t/p/original/9XvDKzoFqDLepuC3K3FFXCuD8jc.jpg,2145271,"1571598, 1834241, 1565088, 1761412, 1232904, 224673, 2463266, 1335771, 2120766, 2858603, 3247887, 3481219, 1504485, 2285866, 1627616, 2481327, 1571598, 2854670, 2144710, 2878474, 2934538, 1239675, 4263, 3009045, 2159490, 3489653, 1676283, 3548607, 3010130, 2887281, 3031338, 2400234","35, 18",1.0,12.0,60.0,An ordinary office worker disguises herself and goes on a blind date with her attractive boss in the place of her friend to end this unwanted marriage blind date after her request.,137.818,8.38,100.0,,,KR,"156, 213","78691, 83914, 139214"
