tmdb_id,name,original_name,keywords,airing_date,poster_img_url,background_img_url,directors,cast,genres,number_of_seasons,number_of_episodes,episode_run_time,synopsis,popularity,average_rating,rating_count,next_episode_to_air,next_episode_air_date,origin_country,networks,production_companies,tags
99966,All of Us Are Dead,지금 우리 학교는,"high school, bullying, based on comic, horror, coming of age, survival, apocalypse, zombie, virus, based on webcomic or webtoon",2022-01-28,https://image.tmdb.org/t/p/w500/pTEFqAjLd5YTsMD6NSUxV6Dq7A6.jpg,https://image.tmdb.org/t/p/original/8Xs20y8gFR0W9u8Yy9NKdpZtSu7.jpg,JQ Lee,"Park Ji-hu, Yoon Chan-young, Cho Yi-hyun, Lomon, Yoo In-soo, Lee You-mi, Kim Byung-chul, Lee Kyoo-hyung, Jeon Bae-soo","Action & Adventure, Drama, Sci-Fi & Fantasy",2.0,12.0,65.0,A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out — or turn into one of the rabid infected.,356.852,8.423,2717.0,,,KR,Netflix,"Kim Jong-hak Production, SLL, Film Monster",parkji-hu yoonchan-young choyi-hyun lomon yooin-soo leeyou-mi kimbyung-chul leekyoo-hyung jeonbae-soo highschool bulli basedoncom horror comingofag surviv apocalyps zombi viru basedonwebcomicorwebtoon netflix action&adventur drama sci-fi&fantasi a high school becom ground zero for a zombi viru outbreak. trap student must fight their way out — or turn into one of the rabid infected.
112888,True Beauty,여신강림,"high school, beauty, makeover, hidden identity, beauty standards, webtoon, based on webcomic or webtoon, secret",2020-12-09,https://image.tmdb.org/t/p/w500/sld43SJArZqlnANJabq8R5wdOZk.jpg,https://image.tmdb.org/t/p/original/31N42LhrxltHtS1bHYfZghjPDNB.jpg,,"Moon Ga-young, Cha Eun-woo, Hwang In-yeop, Park You-na, Im Se-mi, Park Ho-san, Jang Hye-jin, Oh Eui-sik, Kim Min-ki, Kang Min-ah, Lee Woo-je, Yoon Seo-ah, Kang Chan-hee, Jeon Hye-won","Comedy, Drama",1.0,16.0,75.0,"Lim Ju-kyung is a high school student. Since she was little, she has had a complex about her appearance. To hide her bare face, Ju-kyung always wears make-up. Her excellent make-up skills make her pretty and she hides her bare face in front of others. She gets involved with 2 men; Lee Su-ho and Han Seo-jun.",344.001,8.545,1139.0,,,KR,tvN,"Bon Factory, Studio Dragon, Studio N","moonga-young chaeun-woo hwangin-yeop parkyou-na imse-mi parkho-san janghye-jin oheui-sik kimmin-ki kangmin-ah leewoo-j yoonseo-ah kangchan-he jeonhye-won highschool beauti makeov hiddenident beautystandard webtoon basedonwebcomicorwebtoon secret tvn comedi drama lim ju-kyung is a high school student. sinc she wa little, she ha had a complex about her appearance. to hide her bare face, ju-kyung alway wear make-up. her excel make-up skill make her pretti and she hide her bare face in front of others. she get involv with 2 men; lee su-ho and han seo-jun."
208249,Game of Witches,마녀의 게임,,2022-10-11,https://image.tmdb.org/t/p/w500/9bTjPzX48VZGalKEBI6tiknUyLI.jpg,https://image.tmdb.org/t/p/original/akjmJsCDpvDP5tLoAQCF9AiWqJb.jpg,,"Jang Seo-hee, Kim Gyu-sun, Oh Chang-seok","Drama, Crime, Mystery",1.0,29.0,30.0,"Yu Kyung is a successful woman who is proficient enough to become an executive director of Chunha Group when she started as a secretary. She recently found out her daughter is alive, so she plans to get her back and take her revenge. Meanwhile, Hye Soo is a strong girl who faces challenges head-on. She has a daughter with Ji Ho, and she would do anything for her. However, she gets tragically betrayed by Ji Ho, the love of her life, over power and money. How will those two mothers end their fierce revenge?",216.535,,,17.0,2022-11-02,KR,MBC,MBC,
93405,Squid Game,오징어 게임,"secret organization, challenge, survival, fictional game show, cruelty, game, death match, prize",2021-09-17,https://image.tmdb.org/t/p/w500/dDlEmu3EZ0Pgg93K2SVNLCjCSvE.jpg,https://image.tmdb.org/t/p/original/4y6kEEfdrNIUnWnmELkoc3EmgG7.jpg,Hwang Dong-hyuk,"Lee Jung-jae, Park Hae-soo, Jung Ho-yeon, Wi Ha-jun, Oh Young-soo, Heo Sung-tae, Kim Joo-ryoung, Anupam Tripathi, Lee You-mi","Action & Adventure, Mystery, Drama",2.0,9.0,54.0,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games—with high stakes. But, a tempting prize awaits the victor.",294.357,7.833,11791.0,,,KR,Netflix,Siren Pictures,"leejung-ja parkhae-soo jungho-yeon wiha-jun ohyoung-soo heosung-ta kimjoo-ryoung anupamtripathi leeyou-mi secretorgan challeng surviv fictionalgameshow cruelti game deathmatch prize netflix action&adventur mysteri drama hundr of cash-strap player accept a strang invit to compet in children' games—with high stakes. but, a tempt prize await the victor."
136699,Glitch,글리치,"friendship, investigation, ufo, miniseries, suspense",2022-10-07,https://image.tmdb.org/t/p/w500/dspwDOosidQT85oPDDHMM9zmaLw.jpg,https://image.tmdb.org/t/p/original/hGm3m4TzEsmBb9SF2mz8Uizx9uH.jpg,Roh Deok,"Jeon Yeo-been, Nana, Lee Dong-hwi, Ryu Kyung-soo, Ko Chang-seok, Kim Nam-hee, Kim Myung-gon, Son Sook, Back Joo-hee, Jung Da-bin, Tae Won-seok, Lee Min-goo, Park Won-suk, Jeon Bae-soo, Kim Kuk-hee, Park Su-young, Ahn Se-ho, Choi Su-im, Kim Han-na","Drama, Comedy, Mystery, Sci-Fi & Fantasy",1.0,10.0,54.0,A young woman joins forces with a UFO enthusiast to investigate her boyfriend’s sudden disappearance and stumbles into a wild conspiracy.,279.935,7.514,37.0,,,KR,Netflix,Studio 329,jeonyeo-been nana leedong-hwi ryukyung-soo kochang-seok kimnam-he kimmyung-gon sonsook backjoo-he jungda-bin taewon-seok leemin-goo parkwon-suk jeonbae-soo kimkuk-he parksu-young ahnse-ho choisu-im kimhan-na friendship investig ufo miniseri suspens netflix drama comedi mysteri sci-fi&fantasi a young woman join forc with a ufo enthusiast to investig her boyfriend’ sudden disappear and stumbl into a wild conspiracy.
211174,Vengeance of the Bride,태풍의 신부,"revenge, daughter–in–law, enemy, woman",2022-10-10,https://image.tmdb.org/t/p/w500/aHUyK2XA76mn9GM36wu2rRKvwB5.jpg,https://image.tmdb.org/t/p/original/5gGfJIMB2ynRzERryQo8hTcdQXi.jpg,,"Park Ha-na, Kang Ji-sub, Park Yoon-jae, Son Chang-min, Ji Soo-won, Oh Seung Ah, lee a ra, Kim Tae Yeon, Kim Young-ok, Choi Soo Rin, Kim Kwang Young, Choi Yeong-Wan, Kim Hye-sun","Drama, Mystery, Family",1.0,100.0,40.0,The story of a woman who becomes the daughter-in-law of an enemy for desperate revenge.,221.488,,,19.0,2022-11-03,KR,KBS2,KBS Media,parkha-na kangji-sub parkyoon-ja sonchang-min jisoo-won ohseungah leeara kimtaeyeon kimyoung-ok choisoorin kimkwangyoung choiyeong-wan kimhye-sun reveng daughter–in–law enemi woman kbs2 drama mysteri famili the stori of a woman who becom the daughter-in-law of an enemi for desper revenge.
112836,Money Heist: Korea - Joint Economic Area,종이의 집: 공동경제구역,"robbery, bank, remake, money, bank robbery, hostage situation, hostage negotiator, inter-korean relations, korean reunification, hahoe",2022-06-24,https://image.tmdb.org/t/p/w500/fjAAxDPzllwnCMqHDXYlw4IlkaL.jpg,https://image.tmdb.org/t/p/original/lcTuggU70y6pt6x13Rv1Ffjs93K.jpg,,"Yoo Ji-tae, Yunjin Kim, Park Hae-soo, Jeon Jong-seo, Lee Won-jong, Kim Ji-hun, Jang Yoon-ju, Lee Hyun-woo, Kim Ji-hoon, Lee Kyu-ho, Park Myung-hoon, Kim Sung-oh, Lee Joo-been, Lee Si-woo, Kil Eun-sung, Lee Yong-nyeo, Park Su-young, Jang Hyun-sung, Lim Ji-yeon, Lim Hyung-kook","Action & Adventure, Crime, Drama, Mystery",1.0,6.0,,"Disguised under the shadows of a mask, a crew of desperados band together under the leadership of a criminal mastermind known only as “The Professor” to pull off the biggest heist Korea has ever seen.",198.96,7.905,384.0,,,KR,Netflix,"Content Zium, BH Entertainment","yooji-ta yunjinkim parkhae-soo jeonjong-seo leewon-jong kimji-hun jangyoon-ju leehyun-woo kimji-hoon leekyu-ho parkmyung-hoon kimsung-oh leejoo-been leesi-woo kileun-sung leeyong-nyeo parksu-young janghyun-sung limji-yeon limhyung-kook robberi bank remak money bankrobberi hostagesitu hostagenegoti inter-koreanrel koreanreunif haho netflix action&adventur crime drama mysteri disguis under the shadow of a mask, a crew of desperado band togeth under the leadership of a crimin mastermind known onli as “the professor” to pull off the biggest heist korea ha ever seen."
201146,Love in Contract,월수금화목토,,2022-09-21,https://image.tmdb.org/t/p/w500/91diI2TKjaWMqKmjlcQeSnImg5n.jpg,https://image.tmdb.org/t/p/original/eoX8GS1j5F1mQaFHJigoPJDfklq.jpg,,"Park Min-young, Kim Jae-young, Jin Kyung, Kang Hyung-suk, Lee Joo-been, Park Chul-min, Park Kyung-hye, Oh Ryoong, Ahn Suk-hwan, Kim Dong-hyun, Bae Hae-sun, Yang Jung-ah, Kim Hyun-mok, Yeom Ji Young, Go Eun-yi","Drama, Comedy",1.0,16.0,70.0,"Can marriage be a business? Sang-eun is a single-life helper with 13 years of career. Her customers are those who need a wife for their public life under social pressure. Ji-ho is Sang-eun's MWF husband client who has been with her for 5 years. While short-term, abusing clients on TTS are driving Sang-eun mad, new long-term contractor Hye-jin appears and takes up the TTS husband schedule. With two different men, MWF husband and TTS husband, Sang-eun's week flows romantically crossing the borderline between public affairs and private emotions.",182.651,9.2,5.0,14.0,2022-11-03,KR,tvN,"Studio 605, CJ ENM",
67915,Goblin,쓸쓸하고 찬란하神-도깨비,"romance, super power, past life, immortal",2016-12-02,https://image.tmdb.org/t/p/w500/c2gon6zbqzL73DOl8mPQMMUJXvE.jpg,https://image.tmdb.org/t/p/original/smSbK5cd8T9XHcxEUcems23BDEF.jpg,Lee Eung-bok,"Gong Yoo, Kim Go-eun, Lee Dong-wook, Yoo In-na, Yook Sung-jae, Lee El, Kim Seong-gyeom, Jo Woo-jin, Yoon Kyung-ho","Drama, Sci-Fi & Fantasy",1.0,16.0,77.0,"In his quest for a bride to break his immortal curse, a 939-year-old guardian of souls meets a grim reaper and a sprightly student with a tragic past.",158.861,8.713,2351.0,,,KR,tvN,"Hwa and Dam Pictures, Studio Dragon","gongyoo kimgo-eun leedong-wook yooin-na yooksung-ja leeel kimseong-gyeom jowoo-jin yoonkyung-ho romanc superpow pastlif immort tvn drama sci-fi&fantasi in hi quest for a bride to break hi immort curse, a 939-year-old guardian of soul meet a grim reaper and a sprightli student with a tragic past."
154825,Business Proposal,사내맞선,"based on novel or book, businessman, fake identity, blind date, romance, heir, office romance, rich man poor woman, secondary couple, boss/employee relationship",2022-02-28,https://image.tmdb.org/t/p/w500/iLh7L8ZuvgdxFaM9sImyv2iKYLe.jpg,https://image.tmdb.org/t/p/original/9XvDKzoFqDLepuC3K3FFXCuD8jc.jpg,Park Seon-ho,"Ahn Hyo-Seop, Kim Se-jeong, Kim Min-gue, Seol In-a, Lee Duck-hwa, Kim Kwang-kyu, Jung Young-ju, Kim Hyun-sook, Song Won-seok, Choi Byung-chan, Im Gi-hong, Yun Sang-jeong, Bae Woo-hee, Seo Hye-won, Lee Soo-jung, Choi Kyung-min, Ahn Hyo-Seop, Kim Min-sik, Oh Jin-ha, Kim Jung-soo, Kim Young-ah, Hwang Bo-ra, Kim Jung-young, Choi Nam-Wook, Ok Joo-ri, Park Jae-jun, Kim Kyu Jong, Na Eun Saem, Kim Sung-Yong, Jang Soon-mi, Im Yu-Ran, Ariane Desgagnés-Leclerc","Comedy, Drama",1.0,12.0,60.0,An ordinary office worker disguises herself and goes on a blind date with her attractive boss in the place of her friend to end this unwanted marriage blind date after her request.,137.818,8.38,100.0,,,KR,"SBS, Netflix","Kross Pictures, Studio S, Kakao Entertainment",ahnhyo-seop kimse-jeong kimmin-gu seolin-a leeduck-hwa kimkwang-kyu jungyoung-ju kimhyun-sook songwon-seok choibyung-chan imgi-hong yunsang-jeong baewoo-he seohye-won leesoo-jung choikyung-min ahnhyo-seop kimmin-sik ohjin-ha kimjung-soo kimyoung-ah hwangbo-ra kimjung-young choinam-wook okjoo-ri parkjae-jun kimkyujong naeunsaem kimsung-yong jangsoon-mi imyu-ran arianedesgagnés-leclerc basedonnovelorbook businessman fakeident blinddat romanc heir officerom richmanpoorwoman secondarycoupl boss/employeerelationship sb netflix comedi drama an ordinari offic worker disguis herself and goe on a blind date with her attract boss in the place of her friend to end thi unwant marriag blind date after her request.
